Person,Contribution,Creator_role,Notes
André Bretón,"""El castillo estrellado"" (contribución surrealista especial para 'SUR')",AU,
Valentine Hugo,"""Retratos""",AR,
Paul Eluard,"""Tres poemas"" (PE)",AU,
Julio Rinaldini,"""El nuevo plan de estudios de la Escuela de Bellas Artes"" (notas)",AU,
Jorge Luis Borges,"""La doctrina de los ciclos""",AU,
Raimundo Lida,"""Korn, o el filósofo prudente"" (notas)",AU,
Julio Irazusta,"""El 'Catilina' de Ernesto Palacio y la historiografía romana"" (notas)",AU,
Attilio Rossi,"""Crónicas de arte"" (notas)",AU,
Gabriela Mistral,"""Recado sobre Victoria Kent""",AU,
Ana M. Berry,"""¿Existe una nueva consciencia?""",AU,
Vicente Fatone,"""Sobre la educación del hombre argentino"" (notas)",AU,
Louis Ollivier,"""Primer debate de 'Sur': Louis Ollivier: 'Misión o demisión del hombre'""",AU,
Guillermo de Torre,"""Homenaje a Freud""",AU,
Benjamin Fondane,"""Prefacio para el presente""",AU,
Julio Irazusta,"""Siegfried y la América Latina"" (notas)",AU,
José Bianco,"""Las últimas obras de Mallea""",AU,
Francisco Romero,"""Nota sobre Spengler""",AU,
Attilio Rossi,"""Crítica de arte"" (notas)",AU,
W. I. Ivánov,"""Ensayo sobre las orientaciones del espíritu moderno""",AU,
Alvaro Guillot Muñoz,"""Un Talweg Ontológico"" (noticias)",AU,
Victoria Ocampo,"""Una obra sobre la revelación psicológica de Proust"" (1)",AU,
Aldous Huxley,"""¿Cómo lo resuelve Ud.? El probema de la paz constructiva""",AU,
Francisco Luis Bernárdez,"""Sonetos nocturnos""",AU,
Jorge Luis Borges,"""Modos de G. K. Chesterton""",AU,
Attilio Rossi," ""Crítica de Arte. Raquel Forner en la Galería Müller"" (notas)",AU,
Julio Rinaldini,"""Experiencia de una Exposición de Arte"" (notas)",AU,
Jacques Maritain," ""Carta sobre la independencia""",AU,
Ramón Doll,"""Un ensayo de Julio Irazusta sobre Rosas"" (notas)",AU,
Ignacio B. Anzoátegui,"""Laberinto de Amor"" (notas)",AU,
Victoria Ocampo,"""Una obra sobre la revelación psicológica de Proust"" (2)",AU,
José Ortega y Gasset,"""Dan-Auta""",AU,
Victoria Ocampo,"""El congreso internacional de escritores de los P.E.N. Clubs en Buenos Aires""",AU,
Alfonso Reyes,"""Romances del río de enero""",AU,
Jules Supervielle,"""Poemas"" (JS2)",AU,
Amado Alonso,"""Alfonso Reyes""",AU,
Julio Irazusta,"""La representación británica al congreso del P.E.N. Club""",AU,
Ernesto Palacio,"""Ungaretti. Dos poemas de Ungaretti""",AU,
Giuseppe Ungaretti,"""Dos poemas de Ungaretti""",AU,
Gervasio Guillot Muñoz,"""Emil Ludwig""",AU,
Pedro Henríquez Ureña,"""Dos valores hispanoamericanos""",AU,
Angel J. Battistessa,"""Georges Duchamel. Benjamin Cremieux""",AU,
Francisco Romero,"""Presencia de Ortega""",AU,
Robert Weibel-Richard,"""Dos altos representantes del espíritu francés""",AU,
Leonardo Castellani,"""Jacques Maritain""",AU,
Pierre Hourcade,"""Henri Michaux o el viajero perseguido"" ",AU,
Michel Berveiller,"""El teatro de Jean Giraudoux""",AU,
B. Sanin Cano,"""Sobre una novela de Carlos Reyles""",AU,
Carlos Reyles,"""'Mi amante, mi única amante'""",AU,
Enrique Diez Canedo,"""'Epigramas americanos'""",AU,
Victoria Ocampo,"""Benjamin Cremieux""",AU,
Victoria Ocampo,"""Notas""",AU,
Victoria Ocampo,"""Escritores participantes en el congreso internacional""",AU,
Jorge Luis Borges,"""El Bosque Petrificado"" (notas)",AU,
Alfonso Reyes,"""Notas sobre la inteligencia americana""",AU,
Carlos Alberto Erro,"""Rasgos extrinsecos: La arquitectura, el mueble, el vestido, la palabra""",AU,
Leopoldo Hurtado,"""Tren y automovil""",AU,
Pedro Henríquez Ureña,"""Filosofía y originalidad"" (notas)",AU,
Attilio Rossi,"""Carta abierta a la Comisión Organizadora de la exposición de 'Un siglo de arte en la Argentina'"" (notas)",AU,
Stefan Zweig,"""Resurrección de Jorge Federico Händel""",AU,
Jules Supervielle & Henri Michaux," ""El porvenir de la poesía""",AU,
Arnaud Dandieu,"""Marcel Proust""",AU,
Jorge Luis Borges,"""Lawrence y la Odisea"" (notas)",AU,
Carlos Astrada,"""De Kierkegaard a Heidegger""",AU,
Leopoldo Marechal,"""Carta abierta"" (notas)",AU,
Julio Irazusta," ""El Talleyrand del conde de Saint Aulaire"" (notas)",AU,
Angel Vassallo,"""P. L. Landsberg, 'Essai sur l'expérience de la mort'"" (notas)",AU,
Attilio Rossi,"""Salón de Pintores Argentinos en 'Amigos del Arte'"" (notas)",AU,
Alberto Sartoris,"""Ajuste de una estética"" (notas)",AU,
Gabriela Mistral,"""Recado sobre Teresa de la Parra""",AU,
Arnaud Dandieu,"""Marcel Proust (II - Formación histórica de la metáfora proustiana)""",AU,
Henri Michaux,"""Búsqueda en la poesía contemporánea""",AU,
Conrado Nale Roxlo,"""En la muerte de Federico García Lorca""",AU,
Alberto Ollivier,"""A propósito de Igor Strawinsky""",AU,
Jorge Luis Borges,"""Wells, previsor (cine)"" (notas)",AU,
Leo Ferrero,"""Diario de un privilegiado bajo el fascismo""",AU,
